ZustandAngaben,ConditionInformation
Aktion,Action
Alter,Age
Anbieter,Provider
AngeschlGastronomie,AttachedGastronomy
Anhaenge,Attachments
Anhang,Attachment
Ausbaustufe,DevelopmentStage
Ausblick,View
AusrichtBalkonTerrasse,BalconyTerraceOrientation
AussenCourtage,ExternalCommission
Ausstattung,Equipment
Bad,Bathroom
Bauweise,ConstructionMethod
BebaubarNach,DevelopableAccordingTo
Befeuerung,HeatingSystem
Betriebskostennetto,NetOperatingCosts
Bewertung,Evaluation
Bieterverfahren,BiddingProcess
Boden,Floor
BreitbandZugang,BroadbandAccess
BueroPraxen,OfficePractices
Check,Check
Dachform,RoofShape
Daten,Data
Distanzen,Distances
DistanzenSport,SportDistances
Einzelhandel,Retail
EmailSonstige,OtherEmail
Energiepass,EnergyPerformanceCertificate
Energietyp,EnergyType
Erschliessung,Development
ErschliessungUmfang,DevelopmentScope
Evbnetto,NetEVB
Fahrstuhl,Elevator
Feld,Field
Flaechen,Areas
Foto,Photo
Freitexte,FreeTexts
FreizeitimmobilieGewerblich,CommercialLeisureProperty
Gastgewerbe,Hospitality
Geo,Geo
Geokoordinaten,GeoCoordinates
Gesamtbelastungnetto,NetTotalCost
Gesamtkostenprom2von,TotalCostsPerSqmFrom
Gesamtmietenetto,NetTotalRent
Geschlecht,Gender
Grundstueck,Plot
HallenLagerProd,HallsStorageProduction
Hauptmietzinsnetto,NetMainRent
Haus,House
Heizkostennetto,NetHeatingCosts
Heizungsart,HeatingType
Immobilie,RealEstate
ImpressumStrukt,ImprintStructure
Infrastruktur,Infrastructure
InnenCourtage,InternalCommission
Kaufpreis,PurchasePrice
Kaufpreisnetto,NetPurchasePrice
Kontaktperson,ContactPerson
Kueche,Kitchen
LageGebiet,LocationArea
LageImBau,LocationInBuilding
Land,Country
LandUndForstwirtschaft,AgricultureAndForestry
Master,Master
MaxMietdauer,MaxRentalPeriod
MieteinnahmenIst,ActualRentalIncome
MieteinnahmenSoll,TargetRentalIncome
MinMietdauer,MinRentalPeriod
Moebliert,Furnished
Monatlichekostennetto,NetMonthlyCosts
Nebenkostenprom2von,AdditionalCostsPerSqmFrom
Nettomieteprom2von,NetRentPerSqmFrom
Nutzungsart,TypeOfUse
ObjektText,PropertyText
Objektart,PropertyType
Objektkategorie,PropertyCategory
Openimmo,OpenImmo
Parken,Parking
PreisZeiteinheit,PriceTimeUnit
Preise,Prices
ProvisionTeilen,CommissionSplit
Provisionnetto,NetCommission
Ruecklagenetto,NetReserves
Serviceleistungen,Services
Sicherheitstechnik,SecurityTechnology
Sonstige,Other
Sonstigekostennetto,NetOtherCosts
Sonstigemietenetto,NetOtherRent
Stellplatzart,ParkingSpaceType
StpCarport,ParkingCarport
StpDuplex,ParkingDuplex
StpFreiplatz,ParkingOutdoor
StpGarage,ParkingGarage
StpParkhaus,ParkingMultiStorey
StpSonstige,ParkingOther
StpTiefgarage,ParkingUnderground
Summemietenetto,NetTotalRent
TelSonstige,OtherPhone
Uebertragung,Transfer
Unterkellert,Basement
UserDefinedAnyfield,UserDefinedAnyfield
UserDefinedExtend,UserDefinedExtend
UserDefinedSimplefield,UserDefinedSimplefield
Verkaufstatus,SalesStatus
Vermarktungsart,MarketingType
Versteigerung,Auction
VerwaltungObjekt,PropertyManagement
VerwaltungTechn,TechnicalManagement
Waehrung,Currency
WeitereAdresse,AdditionalAddress
Wohnung,Apartment
Zimmer,Rooms
ZinshausRenditeobjekt,ApartmentBuildingInvestmentProperty
Zustand,Condition
ZustandAngaben,ConditionInformation
